央视,#genre#
CCTV-1,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227479/index.m3u8
CCTV-2,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227477/index.m3u8
CCTV-3,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227435/index.m3u8
CCTV-4,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227373/index.m3u8
CCTV-5,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227491/index.m3u8
CCTV-6,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227431/index.m3u8
CCTV-7,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227429/index.m3u8
CCTV-8,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227427/index.m3u8
CCTV-9,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227425/index.m3u8
CCTV-10,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227375/index.m3u8
CCTV-11,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227922/index.m3u8
CCTV-12,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227377/index.m3u8
CCTV-13,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227926/index.m3u8
CCTV-14,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227379/index.m3u8
CCTV-15,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227933/index.m3u8
CCTV-17,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227577/index.m3u8
CCTV-5+,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227493/index.m3u8
卫视,#genre#
湖南卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227369/index.m3u8
浙江卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227351/index.m3u8
江苏卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227421/index.m3u8
东方卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227401/index.m3u8
北京卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227397/index.m3u8
辽宁卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227345/index.m3u8
深圳卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227419/index.m3u8
天津卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227343/index.m3u8
山东卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227365/index.m3u8
广东卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227361/index.m3u8
湖北卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227367/index.m3u8
黑龙江卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227347/index.m3u8
安徽卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227363/index.m3u8
重庆卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227359/index.m3u8
贵州卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227357/index.m3u8
江西卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227355/index.m3u8
